mode,paperId,title,publicationDate,year,publicationTypes,fieldsOfStudy,influentialCitationCount
PRECISE,e310e1a774e44ec7e2ccf45bac1ac0f4df0213ab,Deep Learning-Based Intrusion Detection Systems: A Systematic Review,,,JournalArticle; Review,Computer Science,5
PRECISE,09a0970289b496e65b15de950fba7a1d769310fd,Machine and Deep Learning Solutions for Intrusion Detection and Prevention in IoTs: A Survey,,,JournalArticle; Review,Computer Science,4
PRECISE,0aecce522d1968ddbda8cf734862587a7c5ecc73,Evaluation of CAN Bus Security Challenges,2020-04-01,2020,Review; JournalArticle,Computer Science; Medicine,4
PRECISE,0bb4962ddd5b8a4a6eaf90cd735aee1f38540b89,An Overview on Intrusion Detection System and Types of Attacks It Can Detect Considering Different Protocols,,,Review,Engineering,4
PRECISE,1d3d953363a6a3070c3a87c940af432edba24e18,"Deep Learning for Intrusion Detection and Security of Internet of Things (IoT): Current Analysis, Challenges, and Possible Solutions",2022-07-09,2022,Review,,4
PRECISE,20f0adc524e835d921c631e8d778f656e6cdeb6b,Detection of Attacks in an Intrusion Detection System,,,Review,,4
PRECISE,21bf70902375e7b9698fd691b58b457ccc808920,An Overview of Automotive Service-Oriented Architectures and Implications for Security Countermeasures,,,JournalArticle; Review,Computer Science,4
PRECISE,231ebe7e5ede62080aa312fa32d30838210b4214,Insider Threat Detection using Deep Learning: A Review,2020-12-03,2020,Conference; Review,,4
PRECISE,29155d8d621b45ca59db229214027fce39f6f8ab,Integrating Artificial Intelligence Internet of Things and 5G for Next-Generation Smartgrid: A Survey of Trends Challenges and Prospect,,,JournalArticle; Review,Computer Science,4
PRECISE,29512a88b5e879dbd809cd1e98e98fb77785f6b7,Security Issues in Mobile Ad Hoc Networks,2012-11-01,2012,JournalArticle; Review,Computer Science,4
PRECISE,350200e1839c272405839fd5a08be68931e903ab,Zero-day attack detection: a systematic literature review,2023-02-27,2023,JournalArticle; Review,Computer Science,4
PRECISE,3fdfd243f2c1c8ea974ed661dc06b35849b9ead9,Survey on Incremental Approaches for Network Anomaly Detection,2011-12-19,2011,JournalArticle; Review,Computer Science,4
PRECISE,48975ddab2f64f54d48ad4a0590ae5be92953370,Cybersecurity of Industrial Cyber-Physical Systems: A Review,2021-01-10,2021,JournalArticle; Review,Computer Science,4
PRECISE,4cf9ce74e4076a14cc8b636df2130b01f7b7c6ff,Survey on Outlier Detection in Data Stream,2016-02-17,2016,Review,Computer Science,4
PRECISE,5731b90a80d7ebb3dedeedaf3fc8977c110fef86,Machine learning in cybersecurity: a comprehensive survey,2020-09-19,2020,JournalArticle; Review,Computer Science,4
PRECISE,5dd8a69118386d88953bd224d6952062c4f0b341,"Data Mining in Intrusion Detection: A Comparative Study of Methods, Types and Data Sets",2013-07-01,2013,Review,Computer Science,4
PRECISE,5f116198797397ae890bd7543780b74285c545e1,A Survey of Automatic Protocol Reverse Engineering Tools,2015-12-09,2015,JournalArticle; Review,Computer Science,4
PRECISE,626423c34fa1b9465b4a7dd37129eb5d427334dd,Research on Artificial Intelligence Enhancing Internet of Things Security: A Survey,2020-08-20,2020,JournalArticle; Review,Computer Science,4
PRECISE,68011e8686d49f9db021b703524062df3cb2209c,A Comparative Study of Related Technologies of Intrusion Detection & Prevention Systems,2011-01-31,2011,JournalArticle; Review,Computer Science,4
PRECISE,6b3f09231c8d5391528071cf3fceba3e79c9f7bc,An Overview of Flow-Based and Packet-Based Intrusion Detection Performance in High Speed Networks,2011-12-11,2011,Review,Computer Science,4
PRECISE,801eee61f6ffaa1f2449a0e3f10e34caad1a4277,Machine learning in cybersecurity: A review,2019-02-17,2019,JournalArticle; Review,Computer Science,4
PRECISE,83f3d93161f5651e3999fadcbe1d6f1886683299,A Survey on Data-driven Network Intrusion Detection,2021-10-07,2021,JournalArticle; Review,Computer Science,4
PRECISE,8d8a429beb3bd78960c1545a0df40bd85aba7cb7,Building an Intrusion Detection System Using a Filter-Based Feature Selection Algorithm,,,Review,,4
PRECISE,92a51b77f9c34c579ac4fb309b3cb501585f3439,Intrusion detection systems in Internet of Things: A literature review,2018-06-01,2018,Conference; Review,Computer Science,4
PRECISE,96ba9f36c1df479744e2ea66663e544a4bd55747,Survey of Automotive Controller Area Network Intrusion Detection Systems,2019-02-12,2019,JournalArticle; Review,Computer Science,4
PRECISE,981a2d5e21cfee04f04428f3a6d6b5db66cf30e2,A Survey on Techniques in Detection and Analyzing Malware,,,Review,Engineering,4
PRECISE,9d64b312be987a57f6ae023eeeda787248ac4ad4,Intrusion detection techniques for mobile cloud computing in heterogeneous 5G,2016-11-10,2016,JournalArticle; Review,Computer Science,4
PRECISE,a40b8575b0575e24c4615811241fa7efcb2a5f37,ScienceDirect Information Technology and Quantitative Management ( ITQM 2015 ) A New Intrusion Detection Approach using PSO based Multiple Criteria Linear Programming,,,Review,,4
PRECISE,a4803f6ffd4a699f94ae3b2916129e6e23d34066,Artificial Neural Network based Intrusion Detection System: A Survey,2012-02-29,2012,Review,Computer Science,4
PRECISE,af1a42eed47d6d3b752528c88290ec123ca95076,Review of Heterogeneous / Homogeneous Wireless Sensor Networks and Intrusion Detection System Techniques,,,Review,,4
PRECISE,c2fd8632e671ec56629b1c453a5a3d0e65c953be,A Survey of Attacks on Controller Area Networks and Corresponding Countermeasures,2021-05-25,2021,JournalArticle; Review,Computer Science,4
PRECISE,cb797b34c45b346094d1e86f6882ba8e7a865ae1,Transfer Learning Promotes 6G Wireless Communications: Recent Advances and Future Challenges,2021-06-01,2021,JournalArticle; Review,Computer Science,4
PRECISE,da6e8787dc74962e04478b6139fca89f5c697f89,Prevalence and Diagnosis of Neurological Disorders Using Different Deep Learning Techniques: A Meta-Analysis,2020-01-04,2020,Review; JournalArticle,Computer Science; Medicine,4
PRECISE,dd69405bf6ad619c1370f659742a340139ccdf81,Survey on malware evasion techniques: State of the art and challenges,2012-04-03,2012,Conference; Review,Computer Science,4
PRECISE,dfd03e0a154587e864d6d53d49e216738091aa30,A Review of the Advancement in Intrusion Detection Datasets,,,Review,Computer Science,4
PRECISE,ed2d8073fee7a0c1bd38acf38919680681d034db,A Survey on Intrusion Detection Systems for Cloud Computing Environment,2015-01-16,2015,Review,Computer Science,4
PRECISE,edac268e01575c2e44008c1aca04ecd0a80726a1,A Review of Machine Learning based Anomaly Detection Techniques,2013-03-10,2013,JournalArticle; Review,Computer Science; Mathematics,4
PRECISE,efa22021b23145fff383575ea17707a288799b84,Machine Learning Cybersecurity Adoption in Small and Medium Enterprises in Developed Countries,2021-11-10,2021,JournalArticle; Review,Medicine,4
PRECISE,efa8549f70c362b1bc0ab93512169ce96944d4e2,A Survey on Recent Approaches in Intrusion Detection System in IoTs,2019-06-24,2019,JournalArticle; Conference; Review,Computer Science,4
PRECISE,f40ef77759518894739c21d6edb1bf426ecbe273,A survey and analysis of intrusion detection models based on CSE-CIC-IDS2018 Big Data,2020-11-23,2020,JournalArticle; Review,Computer Science,4
PRECISE,f9c7b18f1a8eec22f8305d964fa92cb9fe15ffeb,"A Review on Machine Learning and Deep Learning Perspectives of IDS for IoT: Recent Updates, Security Issues, and Challenges",2020-10-20,2020,Review,Computer Science,4
PRECISE,fc314cf471496836769f8111cc822d3404697ef9,Analyzing and defending against web-based malware,2013-08-01,2013,JournalArticle; Review,Computer Science,4
PRECISE,05ebbd7487e50f28ee1f19f5303d1ee6c20f24fb,Dealing with Security Alert Flooding: Using Machine Learning for Domain-independent Alert Aggregation,2022-03-29,2022,JournalArticle; Review,Computer Science,3
PRECISE,06dc30f2bde21841d4cd23dc0ece342382f22792,Intrusion Detection Systems in RPL-Based 6LoWPAN: A Systematic Literature Review,2021-06-01,2021,Review,Computer Science,3
PRECISE,0f9d94219b87a7eb2e5ad2827f0280250976d8aa,A survey of neural networks usage for intrusion detection systems,2020-05-12,2020,JournalArticle; Review,Computer Science,3
PRECISE,117d41b26c6409a44c7caa8c4fe79420f28a5b66,Machine Learning Algorithms for Network Intrusion Detection,2018-09-18,2018,Review,Computer Science,3
PRECISE,13186310df4bd302085c39e7ca864922870228b0,Intrusion detection techniques in network environment: a systematic review,2021-01-02,2021,JournalArticle; Review,Computer Science,3
PRECISE,16d3d35d313e8cdcd204f83d2b68e86673b36360,ScienceDirect Twelfth International Multi-Conference on Information Processing-2016 ( IMCIP-2016 ) Performance Evaluation of Supervised Machine Learning Algorithms for Intrusion Detection,,,Review,,3
PRECISE,1be5bb9bb07835f63509d384ac75d7cf5bf22fb9,A Survey of Network Attacks on Cyber-Physical Systems,2020-03-02,2020,JournalArticle; Review,Computer Science,3
PRECISE,1efa4ab774c8313b896d482feee5a9768851e8b4,A Comprehensive Survey on Approaches to Intrusion Detection System,,,Review,Engineering,3
PRECISE,2170a6efe7516b4f61245ddf4b19c2c3f99d39c0,An Overview of Intrusion Detection Based on Data Mining Techniques,2013-04-06,2013,Conference; Review,Computer Science,3
PRECISE,269f2904a17b856c4828233e4d1aeb72b5b8afc8,Review of Energy Harvesting Technologies for Sustainable Wireless Sensor Network,,,Review,Computer Science,3
PRECISE,2caa42c15671810c8236ac553753eec1d83f7e48,On Generating Network Traffic Datasets with Synthetic Attacks for Intrusion Detection,2019-05-01,2019,JournalArticle; Review,Computer Science,3
PRECISE,319a737f5a3466c4664fee5aeea0eb34a969450e,A Survey: Intrusion Detection Techniques for Internet of Things,,,JournalArticle; Review,Computer Science,3
PRECISE,31babc068383c3966d322579eaaf79edc6a6bef4,Generative AI in Cybersecurity: A Comprehensive Review of LLM Applications and Vulnerabilities,2024-05-21,2024,Review,Computer Science,3
PRECISE,3441a6131204619462a750f6bc24f16f8ebb96c5,Top 10 data mining techniques in business applications: a brief survey,2017-08-14,2017,JournalArticle; Review,Computer Science,3
PRECISE,3c4d4a6db88ff17686b3b0e6ab89de26eded664e,KDD 1999 generation faults: a review and analysis,2018-09-21,2018,Review,Computer Science,3
PRECISE,40b0dcfcc08a54b3b08eff12cdf693b300d02cd1,A Survey on Threat Hunting in Enterprise Networks,,,JournalArticle; Review,Computer Science,3
PRECISE,49caab22c63bd0f04d8e15a706a0e74cac061974,Measuring team effectiveness in cyber-defense exercises: a cross-disciplinary case study,2015-09-18,2015,JournalArticle; Review,Engineering; Computer Science,3
PRECISE,4b332a9aa4c0cfb15f287ed450c9ccd1d9b83724,Contextual information fusion for intrusion detection: a survey and taxonomy,2017-02-17,2017,JournalArticle; Review,Computer Science,3
PRECISE,4d813aef94af6d7e1e3decae09c840fae0531579,Role of Machine Learning Algorithms Intrusion Detection in WSNs: A Survey,2020-08-29,2020,Review,Computer Science,3
PRECISE,4d9053dc6bb587c6851cc7e440c0cfaf94390220,Augmenting zero trust architecture to endpoints using blockchain: A state‐of‐the‐art review,2021-04-01,2021,JournalArticle; Review,Computer Science,3
PRECISE,50758fd037ee04f40f40590350d60e0b7641cdd6,Deep transfer learning for intrusion detection in industrial control networks: A comprehensive review,2023-04-19,2023,JournalArticle; Review,Computer Science; Engineering,3
PRECISE,52620a320bb2846d8839ee21600594a66888ec9f,A Survey of Game Theory in Wireless Sensor Networks Security,2011-03-18,2011,JournalArticle; Review,Computer Science,3
PRECISE,53d100d0d1b80d47348ddc198b8dfb442d546789,A Survey and Comparative Analysis of Data Mining Techniques for Network Intrusion Detection Systems,,,Review,,3
PRECISE,63576b10727bc550cea2163198bbaa9722a1c916,Intrusion Detection System Classification Using Different Machine Learning Algorithms on KDD-99 and NSL-KDD Datasets - A Review Paper,2019-06-29,2019,Review,Computer Science,3
PRECISE,65628a5e65dce210f41b256f7ace47d63e691ef4,A systematic literature review for network intrusion detection system (IDS),2023-03-27,2023,JournalArticle; Review,Computer Science,3
PRECISE,669101169a2bbb96948221c3add92dc5b5bbbc22,A Review of the Advances in Cyber Security Benchmark Datasets for Evaluating Data-Driven Based Intrusion Detection Systems,,,JournalArticle; Review,Computer Science,3
PRECISE,68b33b4b71dbe9a75f6e4376d7806ee99d6ef751,A Study on Detecting ICMPv6 Flooding Attack based on IDS,,,Review,Engineering,3
PRECISE,68cd29716f6ce26551775740bd4b143ce14c43bf,Deep belief network based intrusion detection techniques: A survey,2020-11-07,2020,JournalArticle; Review,Computer Science,3
PRECISE,692fb7c661cb83356d803b5013b1890eb1b1c838,A Systematic Review of Defensive and Offensive Cybersecurity with Machine Learning,2020-08-01,2020,Review,Computer Science,3
PRECISE,6d7b1e32a3c8bb8cf4f51f4c0561146c437bc766,A Survey on Anomaly Based Host Intrusion Detection System,2018-04-01,2018,Review,Computer Science; Physics,3
PRECISE,6df3418cede6a5917c1a2ca0122656c2d2aa44eb,Internet of Things intrusion detection systems: a comprehensive review and future directions,2022-10-19,2022,JournalArticle; Review,Computer Science,3
PRECISE,7b3f850a70597c1fef1ee3fbd7a4d2ac5c413af4,User profiling in intrusion detection: A review,2016-09-01,2016,JournalArticle; Review,Computer Science,3
PRECISE,7e23109d875c90912636d91466f001e2168ace4e,Benchmark Datasets for Network Intrusion Detection: A Review,,,JournalArticle; Review,Computer Science,3
PRECISE,827105fd2b99d7d37283be2080bf4b589c26ce40,A Taxonomy of Machine-Learning-Based Intrusion Detection Systems for the Internet of Things: A Survey,2022-06-15,2022,JournalArticle; Review,Computer Science,3
PRECISE,84c6d57ea39815778b7f07f8f424dc7560437503,Machine Learning-based Intrusion Detection for Smart Grid Computing: A Survey,2023-01-11,2023,JournalArticle; Review,Computer Science,3
PRECISE,86c5b56951aa23b6cf7595a198e56fba55dc9648,Network Intrusion Detection and its strategic importance,2013-04-07,2013,Review,Engineering,3
PRECISE,8c6f39039d72951db9d2c6073018258ed9306c06,A GAN and Feature Selection-Based Oversampling Technique for Intrusion Detection,2021-07-05,2021,JournalArticle; Review,Computer Science,3
PRECISE,924ae49230c859f7ff27c6c29294b66f2373618f,"Computational intelligence intrusion detection techniques in mobile cloud computing environments: Review, taxonomy, and open research issues",2020-12-01,2020,JournalArticle; Review,Computer Science,3
PRECISE,973684a54ab6c4f5f3355b60b93f27e193a41508,Impact of cyber-security issues on Smart Grid,2011-12-01,2011,JournalArticle; Conference; Review,Computer Science; Engineering,3
PRECISE,98c367c06314106425131c6a600c658d0fb027d7,A taxonomy and survey of cyber-physical intrusion detection approaches for vehicles,2019-03-01,2019,JournalArticle; Review,Computer Science,3
PRECISE,9faa3cfb854922d0b9ed84b56d4b59dc9b3cc07a,Machine Learning and Deep Learning Techniques for Cybersecurity: A Review,2020-04-08,2020,JournalArticle; Review,Computer Science,3
PRECISE,a02a3d9e421953072cb43f83716da0e138641f8a,Deep Learning in IoT Intrusion Detection,2021-10-08,2021,JournalArticle; Review,Computer Science,3
PRECISE,a6abe46a750348620cb109b547a910d906afcdb0,"A survey of IT early warning systems: architectures, challenges, and solutions",2016-11-25,2016,JournalArticle; Review,Computer Science,3
PRECISE,aaaa95a4c0ac5a0b8d56657006627fdc81cf7027,Artificial intelligence in network intrusion detection,2015-05-25,2015,JournalArticle; Review,Computer Science,3
PRECISE,ab08312f0fe6c7f49d43d6e7d49d8aaa1928f629,Data Mining and Intrusion Detection Systems,,,Review,Computer Science,3
PRECISE,abc1e735b100dd464c0de6b71d319b29bddbfc36,Data Mining Techniques in Intrusion Detection Systems: A Systematic Literature Review,2018-09-28,2018,JournalArticle; Review,Computer Science,3
PRECISE,b338f5f97099799d8485cad18cd8ba2798cbc2a5,Performance Assessment of Supervised Classifiers for Designing Intrusion Detection Systems: A Comprehensive Review and Recommendations for Future Research,2021-03-23,2021,Review,Computer Science,3
PRECISE,b810a4547c320ae3a4f02b3380a22912ad787b61,"Explainable Intrusion Detection Systems (X-IDS): A Survey of Current Methods, Challenges, and Opportunities",2022-07-13,2022,JournalArticle; Review,Computer Science,3
PRECISE,b9c0b5ca82d25619fedc02e815a57494fdfb4f6e,A survey of intrusion detection system,2015-03-21,2015,Review,Computer Science,3
PRECISE,ba6cc65e8f8b9d8ad842724fe911e2f38b58f606,A Survey on Secure Network: Intrusion Detection & Prevention Approaches,2016-12-03,2016,Review,Engineering,3
PRECISE,cc6adc412dac7ed5bd5898cd351d56dcd8ad2ebf,Intrusion detection and prevention system: Challenges & opportunities,2014-03-05,2014,Conference; Review,Computer Science,3
PRECISE,cffa86998ca692c7e05a83c299bee091c0ea4d8d,Explainable Intrusion Detection for Cyber Defences in the Internet of Things: Opportunities and Solutions,,,JournalArticle; Review,Computer Science,3
PRECISE,d48c4f5521985d0566d154b585ecdc9f1e3423cc,Towards a Secure Internet of Things: A Comprehensive Study of Second Line Defense Mechanisms,,,JournalArticle; Review,Computer Science,3
PRECISE,d668b4ce4e7f2150ec3f70edc53d1d561f7d40da,Host-Based Intrusion Detection System with System Calls,2018-11-19,2018,JournalArticle; Review,Computer Science,3
PRECISE,daaf51d8f9072b8845207c1d35d9a169fc7a3c2a,A Review of Intrusion Detection Systems for Industrial Control Systems,2019-04-01,2019,JournalArticle; Conference; Review,Computer Science,3
PRECISE,db597e11e07f1773d0f11b88852ff530c941112a,Towards Viable Intrusion Detection Methods For The Automotive Controller Area Network,2018-09-13,2018,Review,Computer Science,3
PRECISE,dedf6242eb05c3c9007bb2253a148b9dd92c1f8f,Performance analysis of machine learning models for intrusion detection system using Gini Impurity-based Weighted Random Forest (GIWRF) feature selection technique,2022-01-04,2022,JournalArticle; Review,Computer Science,3
PRECISE,e195d061b90b07cd4e2997346b185fa4a7dae656,A Survey on SVM Classifiers for Intrusion Detection,2014-07-18,2014,Review,Computer Science,3
PRECISE,e4c29997c555e76788bacec33b8c5aa5ca75c4b8,A Comprehensive Survey on Machine Learning-Based Intrusion Detection Systems for Secure Communication in Internet of Things,2023-01-27,2023,Review,,3
PRECISE,e966bb613b9347141fc7dc3be72dab12e2003415,Efficient classification mechanism for network intrusion detection system based on data mining techniques: A survey,,,Conference; Review,Computer Science,3
PRECISE,ea5f9c473fe187e9db6251a07504eeb7f71116c1,NLP Methods in Host-based Intrusion Detection Systems: A Systematic Review and Future Directions,2022-01-20,2022,JournalArticle; Review,Computer Science,3
PRECISE,ec6f5a0207c709fb77beedb7af83bf8732ebc3e4,Virtualization layer security challenges and intrusion detection/prevention systems in cloud computing: a comprehensive review,2017-03-01,2017,JournalArticle; Review,Computer Science,3
PRECISE,f0a56e444728e37c9b3eb8cc42d546692b0096ec,The Internet of Things: Secure Distributed Inference,2018-06-24,2018,JournalArticle; Review,Computer Science,3
PRECISE,f1c7f3f0b728439da28c86c16ac56dd8141dafa6,Feature selection techniques for intrusion detection using non-bio-inspired and bio-inspired optimization algorithms,2017-12-29,2017,JournalArticle; Review,Computer Science,3
PRECISE,f3707a07c3dc0152391a1ad434e83e55609b4ee6,Intrusion Detection System: A Review,2015-05-31,2015,Review,Engineering,3
PRECISE,f3cbed481dde5acdf88011ed20655a7e001c0c24,Virtual machine introspection: towards bridging the semantic gap,2014-10-25,2014,JournalArticle; Review,Computer Science,3
PRECISE,f42d941f216a27fd5eace0bec549f2c6a0263d10,Security of embedded automotive networks: state of the art and a research proposal,2013-09-24,2013,JournalArticle; Review,Computer Science; Engineering,3
PRECISE,f4e0428df4058dad30652bd7f97bcdd7ed48453d,Intrusion Detection Systems: A Survey and Analysis of Classification Techniques,,,Review,Engineering,3
PRECISE,f790c50935f60c41c60be3ae2f7e7095c94bed56,Anomaly Intrusion Detection Using an Hybrid Of Decision Tree And K-Nearest Neighbor,,,Review,Engineering,3
PRECISE,fd139229436e4ef85f36924651711da98a055190,Intrusion Detection Systems: A Cross-Domain Overview,2019-06-12,2019,JournalArticle; Review,Computer Science,3
